iter	Passed	Remaining
325	1969	10112
326	1975	10104
327	1981	10100
328	1988	10098
329	1994	10093
330	2000	10088
331	2007	10084
332	2012	10077
333	2019	10073
334	2025	10066
335	2031	10061
336	2037	10055
337	2044	10055
338	2050	10049
339	2056	10042
340	2063	10038
341	2069	10032
342	2076	10032
343	2082	10026
344	2089	10021
345	2095	10015
346	2101	10008
347	2107	10004
348	2113	9999
349	2119	9993
350	2126	9990
351	2132	9983
352	2138	9976
353	2144	9972
354	2151	9969
355	2157	9965
356	2164	9959
357	2171	9957
358	2177	9955
359	2183	9948
360	2190	9946
361	2197	9943
362	2203	9937
363	2209	9931
364	2216	9927
365	2222	9920
366	2228	9915
367	2234	9910
368	2240	9904
369	2247	9899
370	2253	9894
371	2259	9889
372	2265	9882
373	2271	9874
374	2277	9869
375	2283	9864
376	2288	9852
377	2294	9845
378	2300	9837
379	2306	9833
380	2312	9828
381	2319	9825
382	2326	9820
383	2333	9818
384	2339	9811
385	2344	9804
386	2351	9800
387	2357	9795
388	2363	9787
389	2369	9780
390	2375	9776
391	2381	9770
392	2387	9764
393	2394	9760
394	2400	9754
395	2407	9751
396	2413	9744
397	2418	9736
398	2424	9730
399	2430	9723
400	2436	9716
401	2443	9712
402	2448	9704
403	2455	9699
404	2461	9694
405	2469	9696
406	2477	9696
407	2484	9693
408	2491	9690
409	2497	9684
410	2504	9681
411	2513	9686
412	2519	9679
413	2524	9671
414	2530	9665
415	2536	9659
416	2542	9651
417	2548	9645
